timestamp,number_of_commits
1537660800,116378
1538265600,181033
1538870400,171816
1539475200,112040
1540080000,169346
1540684800,177661
1541289600,179099
1541894400,87642
1542499200,183896
1543104000,113757
1543708800,109703
1544313600,169740
1544918400,78154
1545523200,20137
1546128000,93636
1546732800,193342
1547337600,135721
1547942400,125155
1548547200,95571
1549152000,128917
1549756800,54829
1550361600,79854
1550966400,75171
1551571200,161074
1552176000,114678
1552780800,67146
1553385600,82455
1553990400,161187
1554595200,339022
1555200000,157584
1555804800,181402
1556409600,189911
1557014400,173043
1557619200,59634
1558224000,65766
1558828800,102848
1559433600,137544
1560038400,142711
1560643200,37896
1561248000,177043
1561852800,223829
1562457600,156101
1563062400,112041
1563667200,113810
1537056000,95820
1465084800,27583
1465689600,33674
1466294400,1316
1466899200,5799
1467504000,6170
1468108800,11798
1468713600,5097
1469318400,84
1469923200,3839
1470528000,26
1471132800,49
1471737600,2538
1472342400,9607
1472947200,8917
1473552000,1324
1474156800,22821
1474761600,6095
1475366400,9587
1475971200,25141
1476576000,5104
1477180800,183
1477785600,11383
1478390400,36604
1478995200,80725
1479600000,36333
1480204800,8898
1480809600,19007
1481414400,12171
1482019200,117
1482624000,42
1483228800,119
1483833600,143
1484438400,102
1485043200,97
1485648000,3523
1486252800,124
1486857600,2367
1487462400,157
1488067200,18477
1488672000,107
1489276800,15976
1489881600,62113
1490486400,35811
1491091200,17957
1491696000,17613
1492300800,17272
1492905600,8993
1493510400,10118
1494115200,20226
1494720000,1293
1495324800,10012
1495929600,17644
1496534400,3869
1497139200,26263
1497744000,3807
1498348800,70906
1498953600,13792
1499558400,1307
1500163200,3839
1500768000,14904
1501372800,2453
1501977600,29718
1502582400,1345
1503187200,9934
1503792000,24828
1504396800,23775
1505001600,1495
1505606400,6442
1506211200,12508
1506816000,4827
1507420800,13193
1508025600,25937
1508630400,16291
1509235200,20138
1509840000,35232
1510444800,22512
1511049600,39839
1511654400,22004
1512259200,26322
1512864000,44711
1513468800,25302
1514073600,1613
1514678400,28103
1515283200,46725
1515888000,45591
1516492800,7018
1517097600,18721
1517702400,13103
1518307200,45111
1518912000,49186
1519516800,68854
1520121600,86533
1520726400,77321
1521331200,92326
1521936000,91295
1522540800,19470
1523145600,47015
1523750400,65447
1524355200,24540
1524960000,12795
1525564800,12974
1526169600,23625
1526774400,18888
1527379200,28137
1527984000,45056
1528588800,75925
1529193600,23982
1529798400,11215
1530403200,23967
1531008000,56549
1531612800,64634
1532217600,16148
1532822400,28740
1533427200,187285
1534032000,150495
1534636800,66573
1535241600,11082
1535846400,20357
1536451200,32228
1456617600,17745
1457222400,11553
1457827200,744
1458432000,152
1459036800,4621
1459641600,27799
1460246400,2401
1460851200,9261
1461456000,20702
1462060800,5821
1462665600,22498
1463270400,2350
1463875200,7125
1464480000,9235
1564272000,133369
1564876800,97575
1565481600,82125
1566086400,56312
1566691200,77665
1567296000,129995
1567900800,128213
1568505600,351658
1569110400,71183
1569715200,138851
1570320000,279869
1570924800,208169
1571529600,249873
1572134400,338141
1572739200,298665
1573344000,401457
1573948800,173274
1574553600,241334
1575158400,509820
1575763200,323663
1576368000,151736
1576972800,4665
1577577600,8011
1578182400,22483
1578787200,47691
1579392000,142222
1579996800,225368
1580601600,144490
1581206400,214874
1581811200,242687
1582416000,191991
1583020800,244420
1583625600,193131
1584230400,271848
1584835200,147079
1585440000,328699
1586044800,244151
1586649600,312375
1587254400,289424
1587859200,277007
1588464000,140116
1589068800,225320
1589673600,120320
1590278400,186938
1590883200,203867
1591488000,98062
1592092800,219280
1592697600,145942
1593302400,134563
1593907200,185847
1594512000,356945
1595116800,173882
1595721600,297270
1596326400,189852
1596931200,80134
1597536000,192235
1598140800,152165
1598745600,149210
1599350400,181876
1599955200,114084
1600560000,91898
1601164800,206066
1601769600,159558
1602374400,174710
1602979200,178348
1603584000,223131
1604188800,219210
1604793600,133266
1605398400,121744
1606003200,149879
1606608000,189281
1607212800,229248
1607817600,188850
1608422400,27444
1609027200,14212
1609632000,75176
1610236800,145212
1610841600,227453
1611446400,279580
1612051200,385310
1612656000,326899
1613260800,323526
1613865600,236484
1614470400,72919
1615075200,309711
1615680000,331515
1616284800,515016
1616889600,57333
1617494400,194208
1618099200,275725
1618704000,171350
1619308800,256781
1619913600,231412
1620518400,227907
1621123200,88370
1621728000,164375
1622332800,50553
1622937600,100040
1623542400,95813
1624147200,108020
1624752000,142863
1625356800,177750
1625961600,153545
1626566400,57065
1627171200,124799
1627776000,77413
1628380800,106929
1628985600,68816
1629590400,27385
1630195200,23746
1630800000,43861
1631404800,49595
1632009600,54461
1632614400,59556
1633219200,62788
1633824000,41452
1634428800,79258
1635033600,95713
1635638400,63461
1636243200,88065
1636848000,83483
1637452800,200684
1638057600,74160
1638662400,71410
1639267200,105711
1639872000,57862
1640476800,10653
1641081600,39997
1641686400,57816
1642291200,69594
1642896000,78607
1643500800,69661
1644105600,73766
1644710400,82581
1645315200,65873
1645920000,72930
1646524800,76060
1647129600,184151
1647734400,175282
1648339200,91610
1648944000,55567
1649548800,57421
1650153600,72133
1650758400,101293
1651363200,120497
1651968000,60143
1652572800,80692
1653177600,41133
1653782400,81240
1654387200,78566
1654992000,58621
1655596800,75235
1656201600,61373
1656806400,44405
1657411200,67364
1658016000,117947
1658620800,31791
1659225600,21233
1659830400,18304
1660435200,16239
1661040000,20653
1661644800,35988
1662249600,47188
1662854400,54496
1663459200,22883
1441497600,8
1442102400,8
1442707200,12
1443312000,11
1443916800,125
1444521600,84
1445126400,49
1445731200,38
1446336000,73
1446940800,47
1447545600,32
1448150400,26
1448755200,92
1449360000,76
1449964800,79
1450569600,42
1451174400,20
1451779200,100
1452384000,47
1452988800,39
1453593600,50
1454198400,55
1454803200,59
1455408000,44
1456012800,52
1664064000,39060
1664668800,51676
1665273600,55580
1665878400,49213
1666483200,33194
1667088000,50877
1667692800,35679
1668297600,32469
1668902400,36766
1669507200,36599
1670112000,29860
1670716800,23330
1671321600,24861
1671926400,1421
1672531200,8307
1673136000,14831
1673740800,15433
1674345600,14697
1674950400,8997
1675555200,7977
1676160000,14107
1676764800,7985
1677369600,8278
1677974400,9718
1678579200,9386
1679184000,4492
1679788800,6221
1680393600,814
1680998400,295
1681603200,188
1682208000,102