label,time_to_close,time_to_first_response
"1 hour",29.885225528182,65.29
"2 hours",7.1642663937422,4.026
"3 hours",3.8233789019665,1.774
"4 hours",2.6390818042255,1.47
"5 hours",2.010380875795,1.024
"6 hours",1.0746399590613,0.662
"12 hours",4.035382703414,3.078
"1 day",11.579793844579,5.848
"2 days",7.0180568755026,3.278
"3 days",3.8087579501426,1.63
"4 days",2.7779808465531,1.15
"5 days",2.3612837195701,1.1
"6 days",1.7472037429637,0.87
"7 days",1.5059580378683,0.676
"14 days",5.7825864463777,2.21
"1 month",4.6933255354924,2.076
"Over 1 month",8.0926968345639,3.838