Name	Age	Releases	Committers	Commits	Stargazers	Watchers	Network Forks	Clones	Unique cloners	Repo views	Unique repo visitors
nf-core/ampliseq	5 years	16	21	1187	111	121	69	43323	31681	77912	22249
nf-core/atacseq	5 years	6	1	0	134	111	97	38236	32203	84567	20874
nf-core/bacass	4 years	4	1	0	42	117	28	4100	1374	23378	5418
nf-core/bactmap	4 years	1	6	228	41	100	23	2246	837	13541	2461
nf-core/airrflow	5 years	9	14	1684	24	113	17	13729	1291	22302	3518
nf-core/cageseq	4 years	3	6	274	9	101	9	4305	576	6388	1249
nf-core/chipseq	5 years	6	13	1256	145	110	117	10201	4085	105633	31595
nf-core/coproid	4 years	3	3	308	7	18	2	684	283	2249	1034
nf-core/crisprvar	4 years	0	2	77	5	98	3	356	167	1521	406
nf-core/ddamsproteomics	5 years	0	3	48	4	23	3	413	260	1065	329
nf-core/deepvariant	5 years	1	6	218	40	23	24	1135	782	17334	6817
nf-core/eager	5 years	25	25	2346	91	122	68	25063	4352	82618	23657
nf-core/epitopeprediction	5 years	6	12	562	25	98	17	8448	1210	23803	3318
nf-core/exoseq	5 years	0	1	0	13	136	23	26642	26411	7848	2167
nf-core/hic	4 years	7	10	278	48	97	36	4253	1905	22890	5869
nf-core/hlatyping	5 years	9	11	335	41	115	26	2777	1127	16178	4485
nf-core/kmermaid	4 years	0	6	1278	18	99	9	16027	2707	9061	2280
nf-core/lncpipe	5 years	0	9	262	25	22	41	630	429	8659	2507
nf-core/mag	5 years	11	18	1204	126	122	79	13691	3126	86506	15689
nf-core/methylseq	5 years	12	1	0	104	113	105	11241	3759	55648	13819
nf-core/mhcquant	5 years	21	17	1031	21	35	22	7396	1252	22222	3729
nf-core/mnaseseq	4 years	1	2	144	9	99	6	827	394	4408	1222
nf-core/nascent	5 years	4	10	946	8	114	8	4529	766	6988	1984
nf-core/neutronstar	5 years	1	4	207	3	135	5	865	428	1835	714
nf-core/proteomicslfq	4 years	1	6	353	29	94	17	5891	1127	18738	3248
nf-core/rnafusion	5 years	13	17	1143	95	116	70	8509	2152	61022	12486
nf-core/rnaseq	5 years	24	70	3086	604	122	564	86681	24386	690446	136406
nf-core/sarek	4 years	14	36	4116	235	96	296	135930	12176	296767	51217
nf-core/scrnaseq	4 years	5	26	708	82	94	83	8779	2265	55543	11907
nf-core/smrnaseq	5 years	5	31	650	49	114	95	7125	2443	48897	10105
nf-core/vipr	5 years	0	1	0	14	147	10	416	348	7362	3224
nf-core/imcyto	4 years	1	4	241	20	99	13	1781	686	9111	2431
nf-core/denovohybrid	4 years	0	1	0	6	2	5	392	234	2979	903
nf-core/nanoseq	4 years	6	1	0	109	95	48	12985	2680	72511	14568
nf-core/diaproteomics	4 years	7	5	351	10	16	9	7575	688	10489	1677
nf-core/slamseq	3 years	1	4	139	4	2	7	1035	459	5620	1426
nf-core/smartseq2	3 years	0	1	0	14	3	9	448	294	7855	2770
nf-core/demultiplex	3 years	3	16	531	25	45	16	3562	794	18934	2799
nf-core/metaboigniter	3 years	2	4	83	10	4	8	1344	411	6949	1030
nf-core/viralrecon	3 years	11	1	0	93	60	81	23747	3575	114011	19527
nf-core/gwas	3 years	0	7	114	12	122	13	1042	391	5814	1592
nf-core/dualrnaseq	3 years	1	6	490	12	75	25	2120	539	10996	1894
nf-core/pangenome	3 years	0	5	239	23	3	6	5379	504	4124	1613
nf-core/clipseq	3 years	1	6	391	13	72	20	2830	661	8720	1852
nf-core/scflow	3 years	0	3	102	19	2	8	861	335	6975	1305
nf-core/cutandrun	2 years	5	12	1209	40	122	21	23837	1633	44727	7178
nf-core/pgdb	2 years	1	1	0	3	3	8	2041	464	4262	896
nf-core/circrna	2 years	0	6	1018	28	67	12	6675	730	14377	2580
nf-core/rnavar	2 years	1	1	0	16	64	16	2389	652	18284	2339
nf-core/fetchngs	2 years	10	12	258	77	59	38	9552	3759	31711	5816
nf-core/raredisease	2 years	0	13	925	37	119	17	8013	949	38745	4355
nf-core/liverctanalysis	2 years	0	1	1	0	2	1	198	58	524	119
nf-core/hicar	2 years	1	7	300	3	38	3	6151	432	7470	1139
nf-core/quantms	2 years	3	9	786	8	17	17	4220	503	13221	1338
nf-core/funcscan	2 years	2	6	735	28	49	7	11108	631	13590	1490
nf-core/metapep	2 years	0	6	385	3	8	2	1714	134	5021	394
nf-core/ssds	2 years	0	1	14	1	50	2	130	89	959	153
nf-core/nanostring	1 year	0	2	2	2	131	0	212	78	477	227
nf-core/taxprofiler	1 year	1	13	831	49	117	17	26113	1151	32559	3216
nf-core/spatialtranscriptomics	1 year	0	1	0	19	121	6	634	233	4482	1117
nf-core/proteinfold	1 year	1	7	333	21	123	13	2555	478	9145	1509
nf-core/circdna	2 years	3	1	0	12	115	9	2648	447	5792	904
nf-core/genomeassembler	1 year	0	1	0	12	125	5	579	145	2218	585
nf-core/genomeannotator	1 year	0	1	27	9	122	7	559	158	2847	624
nf-core/hgtseq	1 year	1	1	0	16	118	3	1110	241	4654	710
nf-core/isoseq	1 year	6	5	121	12	36	3	1374	378	3456	814
nf-core/rnadnavar	1 year	0	1	0	0	136	0	58	51	348	140
nf-core/crisprseq	12 months	1	1	0	8	122	8	839	186	2098	452
nf-core/genomeskim	11 months	0	1	1	0	138	1	93	39	223	86
nf-core/fastquorum	10 months	0	2	13	8	126	4	200	108	2008	414
nf-core/differentialabundance	9 months	5	7	447	18	119	10	3689	404	9307	1117
nf-core/viralintegration	1 year	1	7	188	8	124	3	842	206	2878	556
nf-core/rnasplice	10 months	0	1	0	3	127	7	845	188	5313	663
nf-core/callingcards	8 months	0	1	37	1	146	1	65	37	492	109
nf-core/phyloplace	11 months	1	4	96	3	147	1	678	102	481	171
nf-core/radseq	8 months	0	1	88	0	155	1	105	43	508	107
nf-core/metatdenovo	2 years	0	3	284	2	137	4	679	49	1296	191
nf-core/bamtofastq	3 years	3	6	309	8	154	3	290	31	480	141
nf-core/spinningjenny	3 months	0	1	14	0	156	0	32	24	209	77
nf-core/variantcatalogue	6 months	0	1	18	3	155	0	19	17	430	80