Date,Released,In_Development
2018-03-12,0,1
2018-03-29,0,2
2018-04-17,1,1
2018-04-18,1,2
2018-04-24,1,3
2018-05-15,1,4
2018-05-22,1,5
2018-06-03,1,6
2018-07-11,1,7
2018-07-11,1,8
2018-07-18,2,7
2018-08-20,3,6
2018-09-26,3,7
2018-10-02,3,8
2018-10-04,3,9
2018-10-05,3,10
2018-10-17,4,9
2018-10-19,4,10
2018-10-24,4,11
2018-11-05,4,12
2018-11-15,4,13
2018-11-16,4,14
2018-11-19,5,13
2018-11-27,6,12
2018-11-28,6,13
2018-12-04,6,14
2018-12-13,7,13
2019-01-31,7,14
2019-02-14,8,13
2019-04-08,8,14
2019-04-09,9,13
2019-04-09,9,14
2019-04-10,9,15
2019-04-16,10,14
2019-04-16,11,13
2019-04-23,11,14
2019-04-29,12,13
2019-04-30,12,14
2019-05-06,13,13
2019-05-06,14,12
2019-05-28,14,13
2019-06-06,15,12
2019-06-09,15,13
2019-06-20,15,14
2019-07-19,15,15
2019-07-22,15,16
2019-07-23,15,17
2019-08-01,15,18
2019-09-09,15,19
2019-09-21,16,18
2019-10-08,17,17
2019-11-08,17,18
2019-12-05,18,17
2019-12-09,19,16
2019-12-12,20,15
2019-12-21,21,14
2020-01-07,21,15
2020-02-03,21,16
2020-03-05,22,15
2020-03-05,22,16
2020-03-26,22,17
2020-03-30,22,18
2020-05-14,23,17
2020-05-29,24,16
2020-06-01,25,15
2020-07-13,25,16
2020-08-03,25,17
2020-09-10,26,16
2020-10-16,27,15
2020-10-19,28,14
2020-11-04,28,15
2020-11-08,28,16
2020-11-13,29,15
2020-11-19,29,16
2020-12-09,29,17
2021-01-14,29,18
2021-01-19,29,19
2021-02-10,29,20
2021-02-14,30,19
2021-04-27,31,18
2021-04-27,32,17
2021-05-08,33,16
2021-05-12,33,17
2021-06-03,33,18
2021-06-08,34,17
2021-06-18,35,16
2021-06-21,35,17
2021-08-12,35,18
2021-08-12,35,19
2021-10-19,35,20
2021-11-02,35,21
2021-11-06,36,20
2021-12-09,36,21
2021-12-13,36,22
2021-12-13,36,23
2021-12-20,36,24
2022-01-10,36,25
2022-02-01,36,26
2022-02-18,36,27
2022-02-23,36,28
2022-03-03,36,29
2022-03-24,36,30
2022-04-01,36,31
2022-04-12,36,32
2022-05-02,37,31
2022-05-03,38,30
2022-05-25,39,29
2022-06-01,40,28
2022-06-03,40,29
2022-06-20,41,28
2022-06-28,42,27
2022-06-30,42,28
2022-07-14,42,29
2022-08-09,42,30
2022-08-12,42,31
2022-08-22,42,32
2022-09-10,42,33
2022-10-06,43,32
2022-10-12,43,33
2022-10-24,44,32
2022-10-27,44,33
2022-11-11,44,34
2022-12-24,44,35
2023-01-24,45,34
2023-02-02,46,33
2023-02-10,47,32
2023-02-15,48,31
2023-02-15,49,30
2023-03-13,50,29
2023-03-27,50,30
2023-03-29,51,29